产品名称,RepeaterLTE,,,产品Id,16857118,,,,,
通信协议,MQTT协议,,,认证方式,特征串,,,,,
消息格式,紧凑二进制,,,Masterkey,521e0d76d0024539a9718abb3e4f64cc,,,,,
,,,,,,,,,,
设备名称,设备编号,设备ID,固件版本,设备状态,创建时间,更新时间,密钥,上线时间,离线时间,激活时间
866877072647385,866877072647385,16857118866877072647385,,已激活,2025-11-19 11:33:07,2025-11-19 12:07:01,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 19:46:20,2025-12-21 19:38:51,2025-11-19 12:07:01
866877072652369,866877072652369,16857118866877072652369,,已激活,2025-11-17 14:33:27,2025-11-17 14:50:37,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 16:34:34,2025-12-21 16:29:47,2025-11-17 14:50:37
866877072650041,866877072650041,16857118866877072650041,,已激活,2025-11-11 11:00:34,2025-11-11 11:03:02,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-11-11 11:03:02,2025-11-11 11:07:32,2025-11-11 11:03:02
866877072651122,866877072651122,16857118866877072651122,,已激活,2025-10-24 14:37:20,2025-10-24 14:37:39,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:02:00,2025-12-10 12:09:21,2025-10-24 14:37:39
866877072650264,866877072650264,16857118866877072650264,,已激活,2025-10-11 10:35:25,2025-10-11 10:35:26,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:02:58,2025-12-02 01:49:04,2025-10-11 10:35:26
866877072645207,866877072645207,16857118866877072645207,,已激活,2025-09-23 11:34:47,2025-09-23 11:40:35,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 08:01:38,2025-12-09 04:36:07,2025-09-23 11:40:35
866877072645280,866877072645280,16857118866877072645280,,已激活,2025-09-23 11:34:47,2025-09-23 11:37:33,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 20:05:00,2025-12-21 19:54:34,2025-09-23 11:37:33
866877072656063,866877072656063,16857118866877072656063,,已激活,2025-09-22 15:03:43,2025-09-22 15:04:09,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:04:12,2025-12-05 01:20:11,2025-09-22 15:04:09
866877072654746,866877072654746,16857118866877072654746,,已激活,2025-09-11 15:26:26,2025-09-11 15:26:30,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:02:09,2025-12-10 14:27:39,2025-09-11 15:26:30
866877072650686,866877072650686,16857118866877072650686,,已激活,2025-09-10 14:19:41,2025-09-10 14:19:45,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-11-17 15:31:44,2025-11-18 13:49:45,2025-09-10 14:19:45
866207075362818,866207075362818,16857118866207075362818,,已激活,2025-09-10 10:41:09,2025-09-10 10:41:09,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 06:13:52,2025-12-02 15:37:31,2025-09-10 10:41:09
866877072660545,866877072660545,16857118866877072660545,,已激活,2025-09-04 16:43:57,2025-09-04 17:10:21,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:04:01,2025-12-17 17:49:25,2025-09-04 17:10:21
866877072650561,866877072650561,16857118866877072650561,,已激活,2025-09-04 16:42:52,2025-09-04 16:42:58,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:00:19,2025-12-20 00:43:38,2025-09-04 16:42:58
866877072630902,866877072630902,16857118866877072630902,,已激活,2025-09-04 16:42:51,2025-09-04 16:43:05,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:04:20,2025-12-19 23:16:51,2025-09-04 16:43:05
866877072653284,866877072653284,16857118866877072653284,,已激活,2025-09-04 14:45:58,2025-09-04 14:47:17,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 18:04:36,2025-12-21 17:51:52,2025-09-04 14:47:17
866877072645306,866877072645306,16857118866877072645306,,已激活,2025-08-28 11:01:12,2025-08-28 11:04:53,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-08-28 11:17:02,2025-08-28 11:29:02,2025-08-28 11:04:53
866877072651825,866877072651825,16857118866877072651825,,已激活,2025-08-28 11:01:12,2025-08-28 11:35:59,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:05:01,2025-12-15 15:33:17,2025-08-28 11:35:59
866877072652500,866877072652500,16857118866877072652500,,已激活,2025-08-28 11:01:11,2025-08-28 11:31:13,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-08-28 11:31:13,2025-08-28 11:35:43,2025-08-28 11:31:13
866877072652484,866877072652484,16857118866877072652484,,已激活,2025-08-28 11:01:11,2025-08-28 11:33:59,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:04:05,2025-08-28 11:38:29,2025-08-28 11:33:59
866877072653086,866877072653086,16857118866877072653086,,已激活,2025-08-28 11:01:11,2025-08-28 13:46:50,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:03:21,2025-12-01 17:34:15,2025-08-28 13:46:50
866877072654928,866877072654928,16857118866877072654928,,已激活,2025-08-22 13:36:43,2025-08-22 13:36:59,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:02:10,2025-11-14 17:14:53,2025-08-22 13:36:59
866877072654886,866877072654886,16857118866877072654886,,已激活,2025-08-21 15:10:40,2025-08-21 15:10:50,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:03:27,2025-12-15 05:34:20,2025-08-21 15:10:50
866207075363733,866207075363733,16857118866207075363733,,已激活,2025-08-12 16:33:39,2025-08-12 16:33:49,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:02:01,2025-09-27 15:33:11,2025-08-12 16:33:49
866877072641248,866877072641248,16857118866877072641248,,已激活,2025-08-08 10:46:03,2025-09-10 15:53:24,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 20:05:14,2025-12-21 19:43:06,2025-09-10 15:53:24
866877072653763,866877072653763,16857118866877072653763,,已激活,2025-08-07 15:58:09,2025-08-07 15:59:19,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-20 01:49:24,2025-12-20 01:31:14,2025-08-07 15:59:19
866877072654761,866877072654761,16857118866877072654761,,已激活,2025-08-05 15:33:35,2025-08-05 16:28:06,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:03:01,2025-11-28 02:36:39,2025-08-05 16:28:06
866877072650520,866877072650520,16857118866877072650520,,已激活,2025-08-05 13:37:42,2025-08-05 13:39:16,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 20:04:08,2025-12-21 19:38:20,2025-08-05 13:39:16
866877072660602,866877072660602,16857118866877072660602,,已激活,2025-08-04 09:44:43,2025-08-04 09:44:49,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 19:36:08,2025-12-21 19:30:08,2025-08-04 09:44:49
866877072647260,866877072647260,16857118866877072647260,,已激活,2025-08-04 09:41:48,2025-08-04 09:41:59,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 08:20:35,2025-11-25 04:18:11,2025-08-04 09:41:59
866207075447213,866207075447213,16857118866207075447213,,已激活,2025-07-30 13:57:05,2025-07-30 13:57:21,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:02:33,2025-11-18 10:38:58,2025-07-30 13:57:21
866877072656261,866877072656261,16857118866877072656261,,已激活,2025-07-30 13:39:50,2025-07-30 13:39:50,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:03:14,2025-12-08 10:34:01,2025-07-30 13:39:50
866877072650728,866877072650728,16857118866877072650728,,已激活,2025-07-29 14:54:49,2025-07-31 12:54:51,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:03:48,2025-12-20 23:37:24,2025-07-31 12:54:51
866877072656642,866877072656642,16857118866877072656642,,已激活,2025-07-29 13:40:21,2025-07-29 13:40:35,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:04:13,2025-12-17 07:29:28,2025-07-29 13:40:35
866877072644960,866877072644960,16857118866877072644960,,已激活,2025-07-28 10:18:16,2025-07-28 10:23:48,FwPSberg1VxPhgo4J1fGaKND9YYeXORGqtweMR8HrxY,2025-12-21 03:01:57,2025-11-25 04:21:46,2025-07-28 10:23:48
