序号,区域,项目名称,站点名称,产品型号,设备类型,设备id,最新上报时间,状态,厂商信息,站点编号,经纬度,施工队,产品内部型号,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,,2021-BN1-南宁市良庆区建工城售楼中心平层,ZC_Repeat03,平层,866094052435712,2025-12-08 23:49:50,003333,江苏Vendor C技术有限公司,866094052435712,150.99008,,03.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072660842,ZC_Repeat_LTE01,电梯,866877072660842,2025-12-05 11:56:16,003222,江苏Vendor C技术有限公司,866877072660842,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072621604,ZC_Repeat_LTE01,电梯,866877072621604,2025-12-05 10:55:11,003222,江苏Vendor C技术有限公司,866877072621604,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072653466,ZC_Repeat_LTE01,电梯,866877072653466,,222222,江苏Vendor C技术有限公司,866877072653466,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072622909,ZC_Repeat_LTE01,电梯,866877072622909,2025-12-05 11:02:05,003222,江苏Vendor C技术有限公司,866877072622909,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072625183,ZC_Repeat_LTE01,电梯,866877072625183,2025-12-05 10:48:15,003222,江苏Vendor C技术有限公司,866877072625183,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072622925,ZC_Repeat_LTE01,电梯,866877072622925,2025-12-04 15:01:02,003222,江苏Vendor C技术有限公司,866877072622925,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072656881,ZC_Repeat_LTE01,电梯,866877072656881,2025-12-04 15:11:41,003222,江苏Vendor C技术有限公司,866877072656881,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072621703,ZC_Repeat_LTE01,电梯,866877072621703,2025-12-04 15:20:08,003222,江苏Vendor C技术有限公司,866877072621703,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072645967,ZC_Repeat_LTE01,电梯,866877072645967,2025-12-04 15:28:05,003222,江苏Vendor C技术有限公司,866877072645967,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072653482,ZC_Repeat_LTE01,电梯,866877072653482,2025-12-05 10:41:07,003222,江苏Vendor C技术有限公司,866877072653482,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072650207,ZC_Repeat_LTE01,平层,866877072650207,2025-12-04 14:54:53,003333,江苏Vendor C技术有限公司,866877072650207,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,宝鸡市,陕西一期,2019-BN2-宝鸡市澜湖湾小区地下室,ZC_Repeat_LTE01,平层,860497077625652,2025-12-09 11:40:33,003030,江苏Vendor C技术有限公司,860497077625652,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072646304,ZC_Repeat_LTE01,电梯,866877072646304,2025-11-27 10:24:33,003222,江苏Vendor C技术有限公司,866877072646304,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072654688,ZC_Repeat_LTE01,电梯,866877072654688,2025-11-27 10:29:57,003222,江苏Vendor C技术有限公司,866877072654688,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072646288,ZC_Repeat_LTE01,电梯,866877072646288,2025-11-27 10:26:22,003222,江苏Vendor C技术有限公司,866877072646288,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072624962,ZC_Repeat_LTE01,电梯,866877072624962,2025-11-27 10:33:28,003222,江苏Vendor C技术有限公司,866877072624962,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072660644,ZC_Repeat_LTE01,电梯,866877072660644,2025-11-27 10:12:59,003222,江苏Vendor C技术有限公司,866877072660644,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072630449,ZC_Repeat_LTE01,电梯,866877072630449,2025-11-27 10:06:52,003222,江苏Vendor C技术有限公司,866877072630449,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072655388,ZC_Repeat_LTE01,电梯,866877072655388,2025-11-27 10:05:02,003222,江苏Vendor C技术有限公司,866877072655388,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072626785,ZC_Repeat_LTE01,电梯,866877072626785,2025-11-27 10:15:56,003222,江苏Vendor C技术有限公司,866877072626785,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072171543,ZC_Repeat_LTE01,电梯,866877072171543,2025-11-27 10:18:45,003222,江苏Vendor C技术有限公司,866877072171543,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072653441,ZC_Repeat_LTE01,平层,866877072653441,2025-11-27 09:39:45,003333,江苏Vendor C技术有限公司,866877072653441,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072646981,ZC_Repeat_LTE01,平层,866877072646981,2025-12-09 11:21:11,000333,江苏Vendor C技术有限公司,866877072646981,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072626249,ZC_Repeat_LTE01,平层,866877072626249,2025-11-27 09:48:04,003333,江苏Vendor C技术有限公司,866877072626249,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072656865,ZC_Repeat_LTE01,平层,866877072656865,2025-12-09 11:11:01,000000,江苏Vendor C技术有限公司,866877072656865,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN5-南宁市百益大厦11号3楼主机-办公室中间,ZC_Repeat_LTE02,电梯,866877072647385,2025-12-09 11:03:10,022222222,江苏Vendor C技术有限公司,866877072647385,131.13785,,V251.1.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072623089,ZC_Repeat_LTE01,电梯,866877072623089,2025-11-18 15:05:11,003222,江苏Vendor C技术有限公司,866877072623089,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072646684,ZC_Repeat_LTE01,电梯,866877072646684,2025-11-27 10:10:12,003222,江苏Vendor C技术有限公司,866877072646684,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072654589,ZC_Repeat_LTE01,平层,866877072654589,2025-11-18 14:53:04,003333,江苏Vendor C技术有限公司,866877072654589,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN5-南宁市万达茂广百家超市主机-收银台吊顶,ZC_Repeat_LTE02,电梯,866877072652369,2025-12-09 11:32:54,022222222,江苏Vendor C技术有限公司,866877072652369,108.42943,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072650041,ZC_Repeat_LTE02,平层,866877072650041,2025-11-11 11:02:54,003333222,江苏Vendor C技术有限公司,866877072650041,0.0,,ZC_MU_WSF_W22.39.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,梧州市,广西二期,2022-BN1-梧州市长洲区中宅装饰公司平层-西南角格栅吊顶上,ZC_Repeat_LTE01,平层,866877072654480,2025-12-09 11:15:24,003332,江苏Vendor C技术有限公司,866877072654480,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,梧州市,广西二期,2022-BN1-梧州市龙圩区新地初级中学宿舍楼平层-2楼电井门口,ZC_Repeat_LTE01,平层,866877072652963,2025-12-09 11:38:21,003333,江苏Vendor C技术有限公司,866877072652963,134.42009,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,梧州市,广西二期,2022-BN1-梧州市岑溪市岑溪北部湾村镇银行3楼办公室平层-财务运营部门口吊顶内,ZC_Repeat_LTE01,平层,866877072653201,2025-12-09 11:28:17,003300,江苏Vendor C技术有限公司,866877072653201,133.88634,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072650348,ZC_Repeat_LTE01,平层,866877072650348,2025-11-18 14:57:13,003333,江苏Vendor C技术有限公司,866877072650348,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,梧州市,广西二期,2022-BN1-梧州市岑溪市岑溪北部湾村镇银行2楼办公室平层-信贷管理部门口吊顶内,ZC_Repeat_LTE01,平层,866877072650165,2025-12-09 11:36:18,003333,江苏Vendor C技术有限公司,866877072650165,133.88634,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072626223,ZC_Repeat_LTE01,平层,866877072626223,2025-11-11 09:48:51,003333,江苏Vendor C技术有限公司,866877072626223,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072625761,ZC_Repeat_LTE01,平层,866877072625761,2025-12-09 11:32:44,000000,江苏Vendor C技术有限公司,866877072625761,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072654423,ZC_Repeat_LTE01,平层,866877072654423,2025-11-11 09:52:23,003333,江苏Vendor C技术有限公司,866877072654423,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
