DeviceId,DeviceName,DeviceSn,ProductId,TenantId,DeviceStatus,DeviceStatusDesc,NetStatus,NetStatusDesc,FirmwareVersion,DeviceType,CreateTime,UpdateTime,LastActiveTime,OnlineTime,OfflineTime,ActiveTime,LogoutTime,ProductProtocol
"16980130TEST_SN_1769392253868","TestDevice_1769392253866","TEST_SN_1769392253868",16980130,"10433748",0,"Inactive",1,"Online","1.0.0","IoT Device","2026-01-26 09:50:54","","","","","","",null
"16980130TEST_SN_1769354052974","TestDevice_1769354052972","TEST_SN_1769354052974",16980130,"10433748",0,"Inactive",1,"Online","1.0.0","IoT Device","2026-01-25 23:14:13","","","","","","",null
"16980130866877072647500","Updated_Device_1769392253934","866877072647500",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-26 09:50:54","2026-01-23 14:04:14","","","","",null
"16980130866877072641180","866877072641180","866877072641180",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-23 14:00:10","2026-01-23 14:00:10","","","","",null
"16980130866877072651908","866877072651908","866877072651908",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-23 14:25:41","2026-01-23 14:25:41","","","","",null
"16980130866877072646049","866877072646049","866877072646049",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-23 14:20:53","2026-01-23 14:20:53","","","","",null
"16980130866877072647740","866877072647740","866877072647740",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-23 14:17:09","2026-01-23 14:17:09","","","","",null
"16980130866877072652401","866877072652401","866877072652401",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-23 14:12:46","2026-01-23 14:12:46","","","","",null
"16980130866877072654365","866877072654365","866877072654365",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-23 14:08:46","2026-01-23 14:08:46","","","","",null
"16980130866877072647369","866877072647369","866877072647369",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:50","2026-01-23 14:53:59","2026-01-23 14:53:59","","","","",null
"16980130866877072640844","866877072640844","866877072640844",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:49","2026-01-23 14:50:20","2026-01-23 14:50:20","","","","",null
"16980130866877072641164","866877072641164","866877072641164",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:49","2026-01-23 14:44:06","2026-01-23 14:44:06","","","","",null
"16980130866877072653508","866877072653508","866877072653508",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:49","2026-01-23 14:40:10","2026-01-23 14:40:10","","","","",null
"16980130866877072653524","866877072653524","866877072653524",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 11:44:49","2026-01-23 14:29:50","2026-01-23 14:29:50","","","","",null
"16980130866877072630324","866877072630324","866877072630324",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 10:39:55","2026-01-23 11:19:54","2026-01-23 11:19:54","","","","",null
"16980130866877072660628","866877072660628","866877072660628",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 10:37:21","2026-01-23 11:07:04","2026-01-23 11:07:04","","","","",null
"16980130866877072660222","866877072660222","866877072660222",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 10:37:21","2026-01-23 11:02:40","2026-01-23 11:02:40","","","","",null
"16980130866877072622107","866877072622107","866877072622107",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 10:37:21","2026-01-23 10:58:22","2026-01-23 10:58:22","","","","",null
"16980130866877072659885","866877072659885","866877072659885",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 10:37:21","2026-01-23 10:52:38","2026-01-23 10:52:38","","","","",null
"16980130866877072626264","866877072626264","866877072626264",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-23 10:37:20","2026-01-23 10:49:41","2026-01-23 10:49:41","","","","",null
"16980130866877072621760","866877072621760","866877072621760",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-08 15:11:15","2026-01-08 15:20:52","2026-01-08 15:20:52","","","","",null
"16980130866877072653169","866877072653169","866877072653169",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-07 16:20:49","2026-01-07 16:31:57","2026-01-07 16:31:57","","","","",null
"16980130866877072621661","866877072621661","866877072621661",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2026-01-07 16:20:49","2026-01-07 16:25:31","2026-01-07 16:25:31","","","","",null
"16980130866207072640620","866207072640620","866207072640620",16980130,"10433748",0,"Inactive",1,"Online","1.0.0","IoT Device","2026-01-06 14:24:47","","","","","","",null
"16980130866877072646569","866877072646569","866877072646569",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:21:23","2025-12-26 14:40:25","2025-12-26 14:40:25","","","","",null
"16980130866877072622867","866877072622867","866877072622867",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:21:23","2025-12-26 14:38:09","2025-12-26 14:38:09","","","","",null
"16980130866877072626207","866877072626207","866877072626207",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:21:22","2025-12-26 14:26:58","2025-12-26 14:26:58","","","","",null
"16980130866877072626009","866877072626009","866877072626009",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:21:22","2025-12-26 14:25:23","2025-12-26 14:25:23","","","","",null
"16980130866877072622842","866877072622842","866877072622842",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-26 14:21:22","2026-01-23 13:57:39","2026-01-23 13:57:39","","","","",null
"16980130866877072660123","866877072660123","866877072660123",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:21:22","2025-12-26 15:02:52","2025-12-26 15:02:52","","","","",null
"16980130866877072626868","866877072626868","866877072626868",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-26 14:21:21","2025-12-26 14:51:39","2025-12-26 14:51:39","","","","",null
"16980130866877072646122","866877072646122","866877072646122",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:21:21","2025-12-26 14:48:16","2025-12-26 14:48:16","","","","",null
"16980130866877072625803","866877072625803","866877072625803",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-26 14:00:29","2025-12-26 14:06:22","2025-12-26 14:06:22","","","","",null
"16980130866877072621802","866877072621802","866877072621802",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:00:28","2025-12-26 14:03:32","2025-12-26 14:03:32","","","","",null
"16980130866877072646601","866877072646601","866877072646601",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-26 14:00:28","2025-12-26 14:14:14","2025-12-26 14:14:14","","","","",null
"16980130866877072645942","866877072645942","866877072645942",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-26 14:00:28","2025-12-26 14:10:22","2025-12-26 14:10:22","","","","",null
"16980130866877072647187","866877072647187","866877072647187",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-22 15:22:19","2025-12-22 15:40:56","2025-12-22 15:40:56","","","","",null
"16980130866877072654563","866877072654563","866877072654563",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-22 15:22:19","2025-12-22 16:11:38","2025-12-22 16:11:38","","","","",null
"16980130866877072654621","866877072654621","866877072654621",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-22 15:22:19","2025-12-22 15:51:24","2025-12-22 15:51:24","","","","",null
"16980130866877072647104","866877072647104","866877072647104",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-22 15:22:18","2025-12-22 15:59:12","2025-12-22 15:59:12","","","","",null
"16980130866877072647203","866877072647203","866877072647203",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-22 15:22:18","2025-12-22 16:04:28","2025-12-22 16:04:28","","","","",null
"16980130866877072646643","866877072646643","866877072646643",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-22 15:22:17","2025-12-22 16:29:04","2025-12-22 16:29:04","","","","",null
"16980130866877072660842","866877072660842","866877072660842",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-05 11:38:46","2025-12-05 11:40:21","2025-12-05 11:40:21","","","","",null
"16980130866877072625183","866877072625183","866877072625183",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-05 10:41:56","2025-12-05 10:46:41","2025-12-05 10:46:41","","","","",null
"16980130866877072621604","866877072621604","866877072621604",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-05 10:41:56","2025-12-05 10:53:37","2025-12-05 10:53:37","","","","",null
"16980130866877072622909","866877072622909","866877072622909",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-05 10:41:56","2025-12-05 11:00:30","2025-12-05 11:00:30","","","","",null
"16980130866877072653466","866877072653466","866877072653466",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-05 10:41:56","2025-12-05 11:07:18","2025-12-05 11:07:18","","","","",null
"16980130866877072656881","866877072656881","866877072656881",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-04 14:55:06","2025-12-04 15:01:52","2025-12-04 15:01:52","","","","",null
"16980130866877072622925","866877072622925","866877072622925",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-04 14:55:06","2025-12-04 14:59:28","2025-12-04 14:59:28","","","","",null
"16980130866877072621703","866877072621703","866877072621703",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-04 14:55:06","2025-12-04 15:10:13","2025-12-04 15:10:13","","","","",null
"16980130866877072645967","866877072645967","866877072645967",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-04 14:55:06","2025-12-04 15:26:30","2025-12-04 15:26:30","","","","",null
"16980130866877072653482","866877072653482","866877072653482",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-12-04 14:55:06","2025-12-05 10:39:33","2025-12-05 10:39:33","","","","",null
"16980130866877072650207","866877072650207","866877072650207",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-12-04 14:55:06","2025-12-04 14:55:07","2025-12-04 14:55:07","","","","",null
"16980130860497077625652","860497077625652","860497077625652",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 14:18:55","2025-11-27 14:19:35","2025-11-27 14:19:35","","","","",null
"16980130866877072624962","866877072624962","866877072624962",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 10:20:16","2025-11-27 10:31:54","2025-11-27 10:31:54","","","","",null
"16980130866877072654688","866877072654688","866877072654688",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 10:20:16","2025-11-27 10:28:23","2025-11-27 10:28:23","","","","",null
"16980130866877072646288","866877072646288","866877072646288",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-27 10:20:16","2025-11-27 10:24:47","2025-11-27 10:24:47","","","","",null
"16980130866877072646304","866877072646304","866877072646304",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 10:20:16","2025-11-27 10:22:58","2025-11-27 10:22:58","","","","",null
"16980130866877072660644","866877072660644","866877072660644",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 09:58:56","2025-11-27 10:11:25","2025-11-27 10:11:25","","","","",null
"16980130866877072655388","866877072655388","866877072655388",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 09:58:56","2025-11-27 10:03:25","2025-11-27 10:03:25","","","","",null
"16980130866877072630449","866877072630449","866877072630449",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 09:58:56","2025-11-27 10:05:17","2025-11-27 10:05:17","","","","",null
"16980130866877072626785","866877072626785","866877072626785",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 09:58:56","2025-11-27 10:14:22","2025-11-27 10:14:22","","","","",null
"16980130866877072171543","866877072171543","866877072171543",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-27 09:58:56","2025-11-27 10:17:08","2025-11-27 10:17:08","","","","",null
"16980130866877072626249","866877072626249","866877072626249",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-27 09:21:44","2025-11-27 09:46:30","2025-11-27 09:46:30","","","","",null
"16980130866877072656865","866877072656865","866877072656865",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 09:21:44","2025-11-27 09:23:36","2025-11-27 09:23:36","","","","",null
"16980130866877072653441","866877072653441","866877072653441",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-27 09:21:44","2025-11-27 09:38:10","2025-11-27 09:38:10","","","","",null
"16980130866877072646981","866877072646981","866877072646981",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-27 09:21:44","2025-11-27 09:29:49","2025-11-27 09:29:49","","","","",null
"16980130866877072623089","866877072623089","866877072623089",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-18 15:02:15","2025-11-18 15:03:36","2025-11-18 15:03:36","","","","",null
"16980130866877072646684","866877072646684","866877072646684",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-18 15:02:15","2025-11-18 15:15:01","2025-11-18 15:15:01","","","","",null
"16980130866877072654589","866877072654589","866877072654589",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-18 14:47:23","2025-11-18 14:51:29","2025-11-18 14:51:29","","","","",null
"16980130866877072650348","866877072650348","866877072650348",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 10:44:45","2025-11-18 14:55:38","2025-11-18 14:55:38","","","","",null
"16980130866877072653201","866877072653201","866877072653201",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 10:44:45","2025-11-11 10:57:42","2025-11-11 10:57:42","","","","",null
"16980130866877072652963","866877072652963","866877072652963",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 10:44:45","2025-11-11 10:54:52","2025-11-11 10:54:52","","","","",null
"16980130866877072654480","866877072654480","866877072654480",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 10:44:45","2025-11-11 10:49:35","2025-11-11 10:49:35","","","","",null
"16980130866877072650165","866877072650165","866877072650165",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 10:44:45","2025-11-11 10:47:43","2025-11-11 10:47:43","","","","",null
"16980130866877072625761","866877072625761","866877072625761",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 10:17:17","2025-11-11 10:17:17","","","","",null
"16980130866877072655420","866877072655420","866877072655420",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 10:29:51","2025-11-11 10:29:51","","","","",null
"16980130866877072647302","866877072647302","866877072647302",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 09:54:08","2025-11-11 09:54:08","","","","",null
"16980130866877072654423","866877072654423","866877072654423",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 09:50:50","2025-11-11 09:50:50","","","","",null
"16980130866877072626223","866877072626223","866877072626223",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 09:47:16","2025-11-11 09:47:16","","","","",null
"16980130866877072625720","866877072625720","866877072625720",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 10:20:24","2025-11-11 10:20:24","","","","",null
"16980130866877072654506","866877072654506","866877072654506",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 10:37:26","2025-11-11 10:37:26","","","","",null
"16980130866877072626827","866877072626827","866877072626827",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 09:37:04","2025-11-11 10:27:09","2025-11-11 10:27:09","","","","",null
"16980130866877072654548","866877072654548","866877072654548",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-11-11 09:37:03","2025-11-11 10:04:52","2025-11-11 10:04:52","","","","",null
"16980130866877072654704","866877072654704","866877072654704",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-11-11 09:37:03","2025-11-11 10:33:28","2025-11-11 10:33:28","","","","",null
"16980130866877072659901","866877072659901","866877072659901",16980130,"10433748",0,"Inactive",1,"Online","1.0.0","IoT Device","2025-11-11 09:37:03","","","","","","",null
"16980130866877072197324","866877072197324","866877072197324",16980130,"10433748",1,"Active",2,"Offline","1.0.0","IoT Device","2025-10-20 16:24:16","2025-10-20 16:32:38","2025-10-20 16:32:38","","","","",null
"16980130866877072626306","866877072626306","866877072626306",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-20 16:24:16","2025-10-20 16:28:20","2025-10-20 16:28:20","","","","",null
"16980130866877072628724","866877072628724","866877072628724",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-20 11:38:16","2025-10-20 11:41:43","2025-10-20 11:41:43","","","","",null
"16980130866877072626546","866877072626546","866877072626546",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-20 11:38:16","2025-10-20 16:19:42","2025-10-20 16:19:42","","","","",null
"16980130866877072622404","866877072622404","866877072622404",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-20 11:38:16","2025-10-20 16:22:21","2025-10-20 16:22:21","","","","",null
"16980130866877072660388","866877072660388","866877072660388",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-20 11:03:15","2025-10-20 11:08:30","2025-10-20 11:08:30","","","","",null
"16980130866877072622941","866877072622941","866877072622941",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-11 14:28:41","2025-10-11 14:39:59","2025-10-11 14:39:59","","","","",null
"16980130866877072661584","866877072661584","866877072661584",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-11 14:28:41","2025-10-11 14:44:13","2025-10-11 14:44:13","","","","",null
"16980130866877072660065","866877072660065","866877072660065",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-11 14:28:41","2025-10-11 14:47:44","2025-10-11 14:47:44","","","","",null
"16980130866877072645447","866877072645447","866877072645447",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-10-11 14:28:41","2025-10-11 14:51:11","2025-10-11 14:51:11","","","","",null
"16980130866877072654100","866877072654100","866877072654100",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-09-28 16:05:15","2025-10-11 14:33:39","2025-10-11 14:33:39","","","","",null
"16980130866877072660008","866877072660008","866877072660008",16980130,"10433748",1,"Active",1,"Online","1.0.0","IoT Device","2025-09-28 16:05:15","2025-09-28 16:18:02","2025-09-28 16:18:02","","","","",null
