产品名称,RepeaterLTE01,,,产品Id,16980130,,,,,
通信协议,MQTT协议,,,认证方式,特征串,,,,,
消息格式,紧凑二进制,,,Masterkey,7f1417fbecad4934bdcfe301c302fa3f,,,,,
,,,,,,,,,,
设备名称,设备编号,设备ID,固件版本,设备状态,创建时间,更新时间,密钥,上线时间,离线时间,激活时间
866877072660842,866877072660842,16980130866877072660842,,已激活,2025-12-05 11:38:46,2025-12-05 11:40:21,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 11:46:22,2025-12-05 12:02:52,2025-12-05 11:40:21
866877072625183,866877072625183,16980130866877072625183,,已激活,2025-12-05 10:41:56,2025-12-05 10:46:41,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 10:46:41,2025-12-05 10:52:41,2025-12-05 10:46:41
866877072621604,866877072621604,16980130866877072621604,,已激活,2025-12-05 10:41:56,2025-12-05 10:53:37,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 10:53:37,2025-12-05 10:59:37,2025-12-05 10:53:37
866877072622909,866877072622909,16980130866877072622909,,已激活,2025-12-05 10:41:56,2025-12-05 11:00:30,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 11:00:30,2025-12-05 11:06:30,2025-12-05 11:00:30
866877072653466,866877072653466,16980130866877072653466,,已激活,2025-12-05 10:41:56,2025-12-05 11:07:18,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 11:32:08,2025-12-05 11:42:38,2025-12-05 11:07:18
866877072656881,866877072656881,16980130866877072656881,,已激活,2025-12-04 14:55:06,2025-12-04 15:01:52,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-04 15:01:52,2025-12-04 15:15:22,2025-12-04 15:01:52
866877072622925,866877072622925,16980130866877072622925,,已激活,2025-12-04 14:55:06,2025-12-04 14:59:28,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-10 08:52:34,2025-12-04 15:08:28,2025-12-04 14:59:28
866877072621703,866877072621703,16980130866877072621703,,已激活,2025-12-04 14:55:06,2025-12-04 15:10:13,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-04 15:10:13,2025-12-04 15:29:43,2025-12-04 15:10:13
866877072645967,866877072645967,16980130866877072645967,,已激活,2025-12-04 14:55:06,2025-12-04 15:26:30,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-04 15:26:30,2025-12-04 15:32:30,2025-12-04 15:26:30
866877072653482,866877072653482,16980130866877072653482,,已激活,2025-12-04 14:55:06,2025-12-05 10:39:33,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 10:39:33,2025-12-05 10:45:33,2025-12-05 10:39:33
866877072650207,866877072650207,16980130866877072650207,,已激活,2025-12-04 14:55:06,2025-12-04 14:55:07,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-04 14:55:07,2025-12-04 14:59:37,2025-12-04 14:55:07
860497077625652,860497077625652,16980130860497077625652,,已激活,2025-11-27 14:18:55,2025-11-27 14:19:35,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-21 11:15:42,2025-12-21 11:12:46,2025-11-27 14:19:35
866877072624962,866877072624962,16980130866877072624962,,已激活,2025-11-27 10:20:16,2025-11-27 10:31:54,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-21 14:55:45,2025-12-21 14:45:23,2025-11-27 10:31:54
866877072654688,866877072654688,16980130866877072654688,,已激活,2025-11-27 10:20:16,2025-11-27 10:28:23,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:28:23,2025-11-27 10:34:23,2025-11-27 10:28:23
866877072646288,866877072646288,16980130866877072646288,,已激活,2025-11-27 10:20:16,2025-11-27 10:24:47,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:24:47,2025-11-27 10:30:47,2025-11-27 10:24:47
866877072646304,866877072646304,16980130866877072646304,,已激活,2025-11-27 10:20:16,2025-11-27 10:22:58,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:22:58,2025-11-27 10:28:58,2025-11-27 10:22:58
866877072660644,866877072660644,16980130866877072660644,,已激活,2025-11-27 09:58:56,2025-11-27 10:11:25,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:11:25,2025-11-27 10:17:25,2025-11-27 10:11:25
866877072655388,866877072655388,16980130866877072655388,,已激活,2025-11-27 09:58:56,2025-11-27 10:03:25,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:03:25,2025-11-27 10:09:25,2025-11-27 10:03:25
866877072630449,866877072630449,16980130866877072630449,,已激活,2025-11-27 09:58:56,2025-11-27 10:05:17,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:05:17,2025-11-27 10:11:17,2025-11-27 10:05:17
866877072626785,866877072626785,16980130866877072626785,,已激活,2025-11-27 09:58:56,2025-11-27 10:14:22,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:14:22,2025-11-27 10:20:22,2025-11-27 10:14:22
866877072171543,866877072171543,16980130866877072171543,,已激活,2025-11-27 09:58:56,2025-11-27 10:17:08,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:17:08,2025-11-27 10:23:08,2025-11-27 10:17:08
866877072626249,866877072626249,16980130866877072626249,,已激活,2025-11-27 09:21:44,2025-11-27 09:46:30,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 09:46:30,2025-11-27 09:54:00,2025-11-27 09:46:30
866877072656865,866877072656865,16980130866877072656865,,已激活,2025-11-27 09:21:44,2025-11-27 09:23:36,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-02 16:11:09,2025-11-27 09:29:36,2025-11-27 09:23:36
866877072653441,866877072653441,16980130866877072653441,,已激活,2025-11-27 09:21:44,2025-11-27 09:38:10,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 09:38:10,2025-11-27 09:44:10,2025-11-27 09:38:10
866877072646981,866877072646981,16980130866877072646981,,已激活,2025-11-27 09:21:44,2025-11-27 09:29:49,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-17 14:56:22,2025-12-17 14:42:48,2025-11-27 09:29:49
866877072623089,866877072623089,16980130866877072623089,,已激活,2025-11-18 15:02:15,2025-11-18 15:03:36,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-18 15:03:36,2025-11-18 15:09:36,2025-11-18 15:03:36
866877072646684,866877072646684,16980130866877072646684,,已激活,2025-11-18 15:02:15,2025-11-18 15:15:01,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 10:08:37,2025-11-27 10:14:37,2025-11-18 15:15:01
866877072654589,866877072654589,16980130866877072654589,,已激活,2025-11-18 14:47:23,2025-11-18 14:51:29,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-21 08:05:24,2025-12-21 17:39:54,2025-11-18 14:51:29
866877072650348,866877072650348,16980130866877072650348,,已激活,2025-11-11 10:44:45,2025-11-18 14:55:38,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-16 16:00:05,2025-11-18 15:01:38,2025-11-18 14:55:38
866877072653201,866877072653201,16980130866877072653201,,已激活,2025-11-11 10:44:45,2025-11-11 10:57:42,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-03 04:28:44,2025-12-03 04:00:14,2025-11-11 10:57:42
866877072652963,866877072652963,16980130866877072652963,,已激活,2025-11-11 10:44:45,2025-11-11 10:54:52,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 01:43:01,2025-12-05 01:20:54,2025-11-11 10:54:52
866877072654480,866877072654480,16980130866877072654480,,已激活,2025-11-11 10:44:45,2025-11-11 10:49:35,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-25 04:23:25,2025-11-25 04:19:40,2025-11-11 10:49:35
866877072650165,866877072650165,16980130866877072650165,,已激活,2025-11-11 10:44:45,2025-11-11 10:47:43,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-03 02:06:42,2025-12-03 02:02:16,2025-11-11 10:47:43
866877072625761,866877072625761,16980130866877072625761,,已激活,2025-11-11 09:37:04,2025-11-11 10:17:17,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-18 10:04:45,2025-11-11 10:26:17,2025-11-11 10:17:17
866877072655420,866877072655420,16980130866877072655420,,已激活,2025-11-11 09:37:04,2025-11-11 10:29:51,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-11 10:29:51,2025-11-11 10:35:51,2025-11-11 10:29:51
866877072647302,866877072647302,16980130866877072647302,,已激活,2025-11-11 09:37:04,2025-11-11 09:54:08,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-11 09:54:08,2025-11-11 10:18:08,2025-11-11 09:54:08
866877072654423,866877072654423,16980130866877072654423,,已激活,2025-11-11 09:37:04,2025-11-11 09:50:50,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-11 09:50:50,2025-11-11 09:56:50,2025-11-11 09:50:50
866877072626223,866877072626223,16980130866877072626223,,已激活,2025-11-11 09:37:04,2025-11-11 09:47:16,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-11 09:47:16,2025-11-11 09:53:16,2025-11-11 09:47:16
866877072625720,866877072625720,16980130866877072625720,,已激活,2025-11-11 09:37:04,2025-11-11 10:20:24,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-21 11:46:01,2025-12-21 11:25:51,2025-11-11 10:20:24
866877072654506,866877072654506,16980130866877072654506,,已激活,2025-11-11 09:37:04,2025-11-11 10:37:26,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-11 10:37:26,2025-11-11 10:43:26,2025-11-11 10:37:26
866877072626827,866877072626827,16980130866877072626827,,已激活,2025-11-11 09:37:04,2025-11-11 10:27:09,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-28 03:05:43,2025-11-28 02:37:00,2025-11-11 10:27:09
866877072654548,866877072654548,16980130866877072654548,,已激活,2025-11-11 09:37:03,2025-11-11 10:04:52,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-18 10:25:40,2025-11-11 10:21:22,2025-11-11 10:04:52
866877072654704,866877072654704,16980130866877072654704,,已激活,2025-11-11 09:37:03,2025-11-11 10:33:28,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-11 10:33:28,2025-11-11 10:40:58,2025-11-11 10:33:28
866877072659901,866877072659901,16980130866877072659901,,已注册,2025-11-11 09:37:03,,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,,,
866877072197324,866877072197324,16980130866877072197324,,已激活,2025-10-20 16:24:16,2025-10-20 16:32:38,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-10-20 16:32:38,2025-10-20 16:38:38,2025-10-20 16:32:38
866877072626306,866877072626306,16980130866877072626306,,已激活,2025-10-20 16:24:16,2025-10-20 16:28:20,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-10-20 16:28:20,2025-10-20 16:35:50,2025-10-20 16:28:20
866877072628724,866877072628724,16980130866877072628724,,已激活,2025-10-20 11:38:16,2025-10-20 11:41:43,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-10-20 11:41:43,2025-10-20 11:47:43,2025-10-20 11:41:43
866877072626546,866877072626546,16980130866877072626546,,已激活,2025-10-20 11:38:16,2025-10-20 16:19:42,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-10 09:02:11,2025-12-08 08:57:55,2025-10-20 16:19:42
866877072622404,866877072622404,16980130866877072622404,,已激活,2025-10-20 11:38:16,2025-10-20 16:22:21,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-10-20 16:22:21,2025-10-20 16:29:51,2025-10-20 16:22:21
866877072660388,866877072660388,16980130866877072660388,,已激活,2025-10-20 11:03:15,2025-10-20 11:08:30,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 17:49:53,2025-11-27 17:16:37,2025-10-20 11:08:30
866877072622941,866877072622941,16980130866877072622941,,已激活,2025-10-11 14:28:41,2025-10-11 14:39:59,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 01:40:30,2025-12-05 01:19:18,2025-10-11 14:39:59
866877072661584,866877072661584,16980130866877072661584,,已激活,2025-10-11 14:28:41,2025-10-11 14:44:13,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-03 05:56:55,2025-12-03 05:38:54,2025-10-11 14:44:13
866877072660065,866877072660065,16980130866877072660065,,已激活,2025-10-11 14:28:41,2025-10-11 14:47:44,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-05 01:40:31,2025-12-05 01:20:48,2025-10-11 14:47:44
866877072645447,866877072645447,16980130866877072645447,,已激活,2025-10-11 14:28:41,2025-10-11 14:51:11,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-12-01 11:10:14,2025-12-01 10:24:11,2025-10-11 14:51:11
866877072654100,866877072654100,16980130866877072654100,,已激活,2025-09-28 16:05:15,2025-10-11 14:33:39,sBJMjBkssG1SPUpdfwCLgJCkwlMCeKLH1hTDLFdxWE8,2025-11-27 00:45:12,2025-11-27 00:42:11,2025-10-11 14:33:39
